--- Project directories are set up. ---
--- Starting HFS-GAN Training (v24 Final Solution) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [148/10000] | C Loss: -1.2065 | G Loss: 299.5576 | Vol Loss: 0.0192 | Corr Loss: 0.4173 | Time: 6.54s
Epoch [149/10000] | C Loss: -1.2102 | G Loss: 273.1457 | Vol Loss: 0.0192 | Corr Loss: 0.3654 | Time: 6.55s
Epoch [150/10000] | C Loss: -1.1308 | G Loss: 305.0992 | Vol Loss: 0.0197 | Corr Loss: 0.4282 | Time: 6.55s
Epoch [151/10000] | C Loss: -1.1371 | G Loss: 322.5585 | Vol Loss: 0.0196 | Corr Loss: 0.4578 | Time: 6.54s
Epoch [152/10000] | C Loss: -1.2242 | G Loss: 353.6146 | Vol Loss: 0.0193 | Corr Loss: 0.4977 | Time: 6.55s
Epoch [153/10000] | C Loss: -1.1276 | G Loss: 312.9046 | Vol Loss: 0.0187 | Corr Loss: 0.4313 | Time: 6.56s
Epoch [154/10000] | C Loss: -1.1433 | G Loss: 327.9014 | Vol Loss: 0.0194 | Corr Loss: 0.4623 | Time: 6.57s
Epoch [155/10000] | C Loss: -1.0564 | G Loss: 324.2470 | Vol Loss: 0.0189 | Corr Loss: 0.4485 | Time: 6.57s
Epoch [156/10000] | C Loss: -1.1962 | G Loss: 323.2646 | Vol Loss: 0.0182 | Corr Loss: 0.4643 | Time: 6.56s
Epoch [157/10000] | C Loss: -1.1277 | G Loss: 318.1143 | Vol Loss: 0.0185 | Corr Loss: 0.4436 | Time: 6.56s
Epoch [158/10000] | C Loss: -1.0998 | G Loss: 325.5032 | Vol Loss: 0.0185 | Corr Loss: 0.4550 | Time: 6.57s
Epoch [159/10000] | C Loss: -1.2112 | G Loss: 301.8791 | Vol Loss: 0.0193 | Corr Loss: 0.4151 | Time: 6.57s
Epoch [160/10000] | C Loss: -1.1196 | G Loss: 360.8313 | Vol Loss: 0.0185 | Corr Loss: 0.5101 | Time: 6.53s
Epoch [161/10000] | C Loss: -1.2285 | G Loss: 317.7916 | Vol Loss: 0.0187 | Corr Loss: 0.4333 | Time: 6.57s
Epoch [162/10000] | C Loss: -1.1107 | G Loss: 313.0366 | Vol Loss: 0.0186 | Corr Loss: 0.4359 | Time: 6.57s
Epoch [163/10000] | C Loss: -1.0369 | G Loss: 311.7994 | Vol Loss: 0.0185 | Corr Loss: 0.4395 | Time: 6.55s
Epoch [164/10000] | C Loss: -1.0050 | G Loss: 344.9333 | Vol Loss: 0.0187 | Corr Loss: 0.4725 | Time: 6.57s
Epoch [165/10000] | C Loss: -1.1237 | G Loss: 321.3202 | Vol Loss: 0.0182 | Corr Loss: 0.4565 | Time: 6.57s
Epoch [166/10000] | C Loss: -1.0812 | G Loss: 306.7691 | Vol Loss: 0.0179 | Corr Loss: 0.4332 | Time: 6.55s
Epoch [167/10000] | C Loss: -1.1121 | G Loss: 307.2000 | Vol Loss: 0.0180 | Corr Loss: 0.4282 | Time: 6.55s
Epoch [168/10000] | C Loss: -1.1094 | G Loss: 320.8678 | Vol Loss: 0.0183 | Corr Loss: 0.4502 | Time: 6.55s
Epoch [169/10000] | C Loss: -1.1433 | G Loss: 291.6481 | Vol Loss: 0.0181 | Corr Loss: 0.3883 | Time: 6.55s
Epoch [170/10000] | C Loss: -1.1032 | G Loss: 318.8664 | Vol Loss: 0.0185 | Corr Loss: 0.4385 | Time: 6.56s
Epoch [171/10000] | C Loss: -1.1153 | G Loss: 278.3022 | Vol Loss: 0.0182 | Corr Loss: 0.3826 | Time: 6.55s
Epoch [172/10000] | C Loss: -1.1122 | G Loss: 299.0261 | Vol Loss: 0.0175 | Corr Loss: 0.4311 | Time: 6.54s
Epoch [173/10000] | C Loss: -1.1063 | G Loss: 327.0475 | Vol Loss: 0.0188 | Corr Loss: 0.4530 | Time: 6.54s
Epoch [174/10000] | C Loss: -1.1010 | G Loss: 314.6219 | Vol Loss: 0.0183 | Corr Loss: 0.4480 | Time: 6.55s
Epoch [175/10000] | C Loss: -1.1397 | G Loss: 321.6471 | Vol Loss: 0.0180 | Corr Loss: 0.4453 | Time: 6.56s
Epoch [176/10000] | C Loss: -1.1760 | G Loss: 300.0259 | Vol Loss: 0.0181 | Corr Loss: 0.4209 | Time: 6.54s
Epoch [177/10000] | C Loss: -1.0604 | G Loss: 337.7885 | Vol Loss: 0.0176 | Corr Loss: 0.4851 | Time: 6.55s
Epoch [178/10000] | C Loss: -1.1215 | G Loss: 330.1538 | Vol Loss: 0.0181 | Corr Loss: 0.4784 | Time: 6.56s
Epoch [179/10000] | C Loss: -1.1732 | G Loss: 333.8275 | Vol Loss: 0.0174 | Corr Loss: 0.4736 | Time: 6.55s
Epoch [180/10000] | C Loss: -1.1284 | G Loss: 311.3852 | Vol Loss: 0.0174 | Corr Loss: 0.4371 | Time: 6.55s
Epoch [181/10000] | C Loss: -1.1116 | G Loss: 291.7567 | Vol Loss: 0.0188 | Corr Loss: 0.3949 | Time: 6.56s
Epoch [182/10000] | C Loss: -1.0946 | G Loss: 305.0011 | Vol Loss: 0.0170 | Corr Loss: 0.4364 | Time: 6.54s
Epoch [183/10000] | C Loss: -1.1994 | G Loss: 307.0053 | Vol Loss: 0.0173 | Corr Loss: 0.4265 | Time: 6.57s
Epoch [184/10000] | C Loss: -1.1123 | G Loss: 294.6010 | Vol Loss: 0.0177 | Corr Loss: 0.4029 | Time: 6.60s
Epoch [185/10000] | C Loss: -1.0085 | G Loss: 327.5397 | Vol Loss: 0.0177 | Corr Loss: 0.4658 | Time: 6.60s
