--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [127/5000] | C Loss: -12.0878 | G Loss: 871.1790 | Style Loss: 1.4719 | Corr Loss: 0.4521 | Time: 6.61s
Epoch [128/5000] | C Loss: -12.3356 | G Loss: 950.8665 | Style Loss: 1.6376 | Corr Loss: 0.4724 | Time: 6.64s
Epoch [129/5000] | C Loss: -12.2539 | G Loss: 774.9084 | Style Loss: 1.2559 | Corr Loss: 0.4346 | Time: 6.62s
Epoch [130/5000] | C Loss: -12.2077 | G Loss: 859.9965 | Style Loss: 1.4910 | Corr Loss: 0.4193 | Time: 6.65s
Epoch [131/5000] | C Loss: -12.0146 | G Loss: 815.3937 | Style Loss: 1.3779 | Corr Loss: 0.4205 | Time: 6.64s
Epoch [132/5000] | C Loss: -12.0715 | G Loss: 787.8107 | Style Loss: 1.2949 | Corr Loss: 0.4297 | Time: 6.64s
Epoch [133/5000] | C Loss: -12.2622 | G Loss: 810.4784 | Style Loss: 1.3127 | Corr Loss: 0.4551 | Time: 6.62s
Epoch [134/5000] | C Loss: -11.8276 | G Loss: 726.1129 | Style Loss: 1.1589 | Corr Loss: 0.4181 | Time: 6.64s
Epoch [135/5000] | C Loss: -12.0181 | G Loss: 932.1286 | Style Loss: 1.6671 | Corr Loss: 0.4218 | Time: 6.65s
Epoch [136/5000] | C Loss: -12.0621 | G Loss: 858.4668 | Style Loss: 1.4898 | Corr Loss: 0.4177 | Time: 6.63s
Epoch [137/5000] | C Loss: -12.1454 | G Loss: 814.1108 | Style Loss: 1.4389 | Corr Loss: 0.3764 | Time: 6.67s
Epoch [138/5000] | C Loss: -12.3496 | G Loss: 861.9835 | Style Loss: 1.5474 | Corr Loss: 0.3846 | Time: 6.61s
Epoch [139/5000] | C Loss: -11.9600 | G Loss: 818.8653 | Style Loss: 1.3869 | Corr Loss: 0.4201 | Time: 6.64s
Epoch [140/5000] | C Loss: -12.2757 | G Loss: 854.6163 | Style Loss: 1.4027 | Corr Loss: 0.4691 | Time: 6.63s
Epoch [141/5000] | C Loss: -12.2179 | G Loss: 753.1259 | Style Loss: 1.2418 | Corr Loss: 0.4079 | Time: 6.63s
Epoch [142/5000] | C Loss: -12.3160 | G Loss: 949.1278 | Style Loss: 1.6880 | Corr Loss: 0.4372 | Time: 6.68s
Epoch [143/5000] | C Loss: -12.0780 | G Loss: 811.5016 | Style Loss: 1.3394 | Corr Loss: 0.4402 | Time: 6.64s
Epoch [144/5000] | C Loss: -12.2803 | G Loss: 897.4481 | Style Loss: 1.5604 | Corr Loss: 0.4357 | Time: 6.64s
Epoch [145/5000] | C Loss: -12.1725 | G Loss: 875.5292 | Style Loss: 1.5255 | Corr Loss: 0.4225 | Time: 6.65s
